Time,log10(Ne),Ne
389.75,7.7568,57121552.16
390.07,7.7496,56182362.81
390.21,7.8286,67390705.04
390.45,7.7819,60520150.59
390.42,7.9183,82851428.35
390.51,7.9686,93025068.82
390.68,8.4208,263511759
390.77,8.2342,171474679.6
390.93,7.9111,81489189.82
391.1,8.7043,506174194
391.19,8.6218,418600748
391.71,8.8802,758926993.4
391.96,8.8838,765244117.8
392.07,9.0884,1225744632
392.28,8.9807,956533093.4
392.45,9.3217,2097490488
392.59,9.1745,1494514042
392.75,9.3181,2080175610
393.05,9.5514,3559590180
393.23,9.4365,2732121444
393.37,9.7524,5654575407
393.57,9.5406,3472162162
393.76,9.756,5701642723
394,9.8242,6671139158
394.17,9.7488,5607896634
394.34,10,10000000000
394.53,9.7883,6141861234
394.7,10.057,11402497876
394.84,10.04,10964781961
394.99,10.086,12189895989
395.14,10.061,11508003889
395.27,10.309,20370420777
395.52,10.151,14157937800
395.66,10.456,28575905434
395.83,10.33,21379620895
396.11,10.488,30760968147
396.24,10.664,46131757456
396.44,10.463,29040226545
396.52,10.768,58613816451
396.63,10.948,88715601204
396.8,10.65,44668359215
396.9,10.775,59566214353
397.04,10.815,65313055265
397.18,10.98,95499258602
397.35,10.775,59566214353
397.46,10.808,64268771732
397.54,11.271,1.86638E+11
397.71,10.944,87902251683
397.9,11.062,1.15345E+11
398.02,11.238,1.72982E+11
398.15,11.306,2.02302E+11
398.3,10.994,98627948563
398.48,11.457,2.86418E+11
398.69,11.267,1.84927E+11
398.76,11.357,2.2751E+11
398.89,11.299,1.99067E+11
399.03,11.608,4.05509E+11
399.24,11.317,2.07491E+11
399.39,11.59,3.89045E+11
399.59,11.529,3.38065E+11
399.66,11.568,3.69828E+11
399.81,11.436,2.72898E+11
399.96,11.78,6.0256E+11
400.16,11.533,3.41193E+11
400.27,11.68,4.7863E+11
400.42,11.691,4.90908E+11
400.53,11.791,6.18016E+11
400.71,11.604,4.01791E+11
400.89,11.848,7.04693E+11
401.27,11.705,5.06991E+11
401.48,11.974,9.4189E+11
401.66,11.726,5.32108E+11
401.92,11.784,6.08135E+11
402.01,12.017,1.03992E+12
402.21,11.752,5.64937E+11
402.5,12.064,1.15878E+12
403.73,12.035,1.08393E+12
403.9,11.766,5.83445E+11
403.99,12.039,1.09396E+12
404.29,12.046,1.11173E+12
404.45,11.787,6.1235E+11
404.61,12.057,1.14025E+12
404.82,12.057,1.14025E+12
404.91,11.001,1.00231E+11
405.18,10.287,19364219639
405.52,9.8313,6781097675
405.7,9.2786,1899328128
405.84,9.8959,7868645866
406,8.9628,917909786.1
