Distance_in,log10(Ne),Ne
0.78534,11.831,6.77642E+11
1.3243,11.607,4.04576E+11
2.4688,11.229,1.69434E+11
3.8775,10.937,86496791878
6.5187,10.645,44157044735
8.6317,10.515,32734069488
10.04,10.475,29853826189
14.53,10.371,23496328208
27.208,10.178,15066070662
40.767,9.9313,8536896183
50.05,9.7471,5585988021
