Time,log10(Ne),Ne
394.89,7.8642,73147586.3
394.97,7.8205,66145453.75
395.08,7.8282,67328664.49
395.12,8.0082,101906057.5
395.24,8.1264,133782713.4
395.29,7.9851,96627334.6
395.38,8.3218,209797350.9
395.54,8.6046,402346289
395.69,8.4349,272207445.5
395.73,8.7974,627191263.2
395.8,8.9465,884097169.2
395.92,8.7897,616169220.2
396.07,8.9773,949073833.9
396.24,9.1238,1329841862
396.34,9.0647,1160646591
396.46,9.4606,2888018694
396.57,9.2395,1735801263
396.69,9.6251,4217936138
396.73,9.5788,3791403442
396.81,9.4734,2974404298
397.09,9.8025,6345999010
397.14,9.7768,5981360798
397.19,9.6277,4243263484
397.3,10.011,10256519263
397.37,9.9696,9323951375
397.46,9.7742,5945659033
397.59,9.9721,9377779134
397.72,10.031,10739894123
397.9,9.9336,8582227051
397.99,10.255,17988709151
398.11,9.9978,9949471218
398.21,10.291,19543394558
398.3,10.229,16943378004
398.38,10.265,18407720015
398.51,10.227,16865530254
398.59,10.61,40738027780
398.71,10.319,20844908831
398.81,10.718,52239618900
398.95,10.504,31915378551
399.21,10.856,71779429127
399.35,10.64,43651583224
399.47,11.052,1.1272E+11
399.56,10.823,66527315620
399.7,10.964,92044957175
399.84,11.103,1.26765E+11
399.97,10.874,74816950051
400.09,11.288,1.94089E+11
400.22,11.083,1.2106E+11
400.3,11.193,1.55955E+11
400.48,11.322,2.09894E+11
400.6,11.183,1.52405E+11
400.73,11.435,2.7227E+11
400.83,11.329,2.13304E+11
400.9,11.396,2.48886E+11
401.01,11.342,2.19786E+11
401.09,11.563,3.65595E+11
401.22,11.394,2.47742E+11
401.34,11.584,3.83707E+11
401.41,11.538,3.45144E+11
401.5,11.554,3.58096E+11
401.62,11.484,3.04789E+11
401.68,11.625,4.21697E+11
401.75,11.764,5.80764E+11
401.86,11.656,4.52898E+11
402.13,11.931,8.531E+11
402.23,11.798,6.28058E+11
402.37,11.949,8.89201E+11
402.66,11.728,5.34564E+11
402.75,11.947,8.85116E+11
402.96,11.945,8.81049E+11
403.51,11.916,8.24138E+11
404.19,11.932,8.55067E+11
405.07,11.957,9.05733E+11
405.22,10.98,95499258602
405.27,10.746,55718574893
405.53,10.463,29040226545
405.67,10.631,42756288615
405.76,10.467,29308932453
