Time,log10(Ne),Ne
394.84,7.9102,81320492.47
394.91,7.9973,99380230.57
394.98,7.7385,54764610.1
395.11,8.4254,266317680.7
395.23,8.2936,196607463.4
395.33,8.4536,284184246.8
395.5,8.7123,515584674.9
395.6,8.5994,397557544.9
395.72,9.1357,1366784358
395.84,8.9052,803896244.9
395.99,9.1969,1573620483
396.18,9.2628,1831470805
396.26,9.2581,1811757217
396.36,9.6438,4403520272
396.47,9.3851,2427168907
396.61,9.785,6095368972
396.75,9.6062,4038313213
396.85,9.7567,5710840095
397,9.9402,8713647759
397.11,9.7614,5772979296
397.24,10.19,15488166189
397.36,9.9073,8077928411
397.49,10.124,13304544180
397.64,10.199,15812480393
397.77,10.077,11939881045
397.86,10.429,26853444457
397.99,10.147,14028137046
398.12,10.434,27164392688
398.22,10.378,23878112829
398.3,10.411,25763211570
398.39,10.382,24099054287
398.51,10.735,54325033149
398.62,10.439,27478941531
398.72,10.811,64714261575
398.85,10.636,43251383104
399.08,10.811,64714261575
399.16,10.952,89536476555
399.29,10.74,54954087386
399.37,11.126,1.3366E+11
399.52,10.866,73451386816
399.61,11.007,1.01625E+11
399.69,11.059,1.14551E+11
399.78,11.157,1.43549E+11
399.9,10.969,93110787547
400.03,11.317,2.07491E+11
400.15,11.148,1.40605E+11
400.43,11.313,2.05589E+11
400.55,11.172,1.48594E+11
400.65,11.444,2.77971E+11
400.78,11.364,2.31206E+11
400.88,11.397,2.49459E+11
400.92,11.369,2.33884E+11
401.05,11.713,5.16416E+11
401.16,11.477,2.99916E+11
401.27,11.84,6.91831E+11
401.42,11.717,5.21195E+11
401.55,11.59,3.89045E+11
401.61,11.774,5.94292E+11
401.63,11.915,8.22243E+11
403.93,11.901,7.96159E+11
405.65,11.92,8.31764E+11
