Time,log10(Ne),Ne
389.93,7.7104,51333396.44
390.25,7.7156,51951728.3
390.42,7.7192,52384161.9
390.46,7.872,74473197.39
390.49,8.0638,115824384.2
390.62,8.0141,103299923.5
390.67,8.1065,127790921
390.79,8.2948,197151461.1
390.96,7.8862,76948471.95
390.99,8.4014,251999686.2
391.11,8.6537,450505398.9
391.24,8.54,346736850.5
391.37,8.6466,443200253.4
391.65,8.6928,492946741.3
391.73,8.7781,599929199.2
392.01,8.8243,667267542.1
392.09,8.9948,988097953.9
392.25,8.8847,766831597.9
392.39,8.9344,859805066.7
392.44,9.1476,1404753103
392.52,9.1832,1524754768
392.65,9.0872,1222362449
393.07,9.3928,2470586136
393.23,9.2827,1917343829
393.42,9.542,3483373150
393.59,9.3964,2491150697
393.77,9.5527,3570261280
393.84,9.5349,3426888704
394.02,9.6131,4102985668
394.24,9.542,3483373150
394.33,9.7766,5978606914
394.53,9.5669,3688926481
394.71,9.8157,6541841236
394.98,9.7837,6077150616
395.16,9.8228,6649668571
395.34,10.036,10864256236
395.42,9.8547,7156488867
395.55,9.7872,6126324544
395.57,9.9613,9147449067
395.74,10.111,12912192736
395.82,9.9258,8429464772
396.01,10.107,12793813042
396.17,10.164,14588142603
396.23,10.334,21577444092
396.45,10.196,15703628043
396.67,10.526,33573761424
396.81,10.352,22490546058
397.22,10.597,39536662007
397.37,10.487,30690219884
397.47,10.533,34119291162
397.57,10.843,69662651411
397.72,10.629,42559841313
397.91,10.75,56234132519
398.05,10.754,56754460541
398.2,10.953,89742879450
398.38,10.74,54954087386
398.52,11.12,1.32E+11
398.7,10.928,84722741414
398.83,11.038,1.09E+11
398.94,10.971,93540567415
399.1,11.251,1.78E+11
399.3,10.935,86099375218
399.45,11.282,1.91E+11
399.58,11.235,1.72E+11
399.77,11.235,1.72E+11
399.9,11.128,1.34E+11
400.05,11.498,3.15E+11
400.21,11.13,1.35E+11
400.4,11.348,2.23E+11
400.5,11.318,2.08E+11
400.69,11.49,3.09E+11
400.77,11.199,1.58E+11
400.83,11.121,1.32E+11
400.99,11.559,3.62E+11
401.12,11.441,2.76E+11
401.28,11.436,2.73E+11
401.37,11.339,2.18E+11
401.57,11.668,4.66E+11
401.76,11.424,2.65E+11
402.05,11.472,2.96E+11
402.14,11.649,4.46E+11
402.22,11.512,3.25E+11
402.33,11.282,1.91E+11
402.45,11.535,3.43E+11
402.78,11.652,4.49E+11
402.89,11.32,2.09E+11
403.01,11.445,2.79E+11
403.06,11.618,4.15E+11
403.3,11.614,4.11E+11
403.41,11.332,2.15E+11
403.49,11.355,2.26E+11
403.61,11.701,5.02E+11
403.87,11.635,4.32E+11
403.96,11.524,3.34E+11
404.02,11.329,2.13E+11
404.14,11.692,4.92E+11
404.41,11.839,6.90E+11
404.56,11.829,6.75E+11
404.62,11.668,4.66E+11
404.74,11.82,6.61E+11
404.92,11.82,6.61E+11
