Distance_in,log10(Ne),Ne
0.19397,12.762,5.78096E+12
0.54614,12.591,3.89942E+12
1.1624,12.389,2.44906E+12
2.9232,11.855,7.16143E+11
4.9482,11.482,3.03389E+11
8.5579,11.158,1.4388E+11
12.432,11.037,1.08893E+11
27.223,10.741,55080769641
40.781,10.489,30831879502
52.779,10.273,18749945081
