Distance_in,log10(Ne),Ne
1.4254,13.076,1.19124E+13
2.8383,12.778,5.99791E+12
7.1712,12.283,1.91867E+12
8.4899,12.201,1.58855E+12
11.692,12.014,1.03276E+12
17.627,11.831,6.77642E+11
23.561,11.701,5.02343E+11
26.952,11.663,4.60257E+11
33.922,11.6,3.98107E+11
40.327,11.562,3.64754E+11
44.754,11.567,3.68978E+11
