Time,log10(Ne),Ne
389.82,7.7439,55449802.04
389.84,7.8767,75283534.38
389.94,7.737,54575786.11
390,7.771,59020108.02
390.02,7.8069,64106194.96
390.08,7.8314,67826592.6
390.13,7.8559,71762903.21
390.14,7.905,80352612.22
390.19,7.922,83560301.82
390.19,8.1957,156927841.1
390.27,8.0825,120920518.3
390.32,8.0523,112797636.6
390.38,8.0749,118822859.6
390.43,8.1297,134803137.4
390.47,8.1787,150903738.8
390.5,8.2561,180343294.9
390.53,8.3279,212764908
390.63,8.2882,194177989.4
390.69,8.4695,294781347.7
390.75,8.5752,376010523.7
390.93,8.443,277332010.5
391.04,8.7507,563248443.2
391.09,8.8432,696947396.4
391.22,8.7658,583176479.7
391.36,8.8394,690875831
391.57,8.9659,924485278.8
391.69,9.0207,1048817681
391.78,9.083,1210598134
391.95,9.1,1258925412
392.06,9.4076,2556230427
392.27,9.2415,1743813357
392.42,9.5757,3764436711
392.66,9.453,2837919028
392.74,9.587,3863669771
392.92,9.6285,4251087068
393.03,9.8267,6709652065
393.15,9.6512,4479195313
393.21,9.6285,4251087068
393.36,9.9589,9097037815
393.58,9.7852,6098176640
393.8,9.9589,9097037815
393.98,10.008,10185913881
394.18,9.9249,8412014256
394.33,10.221,16634126504
394.45,10.15,14125375446
394.51,9.9702,9336841793
394.59,10.032,10764652136
394.69,10.255,17988709151
394.85,10.197,15739828645
395,10.25,17782794100
395.12,10.221,16634126504
395.29,10.52,33113112148
395.49,10.287,19364219639
395.67,10.644,44055486351
395.85,10.453,28379190284
396.16,10.671,46881338215
396.21,10.844,69823240408
396.42,10.587,38636697705
396.62,11.042,1.10154E+11
396.78,10.778,59979107626
396.91,10.916,82413811501
397.06,10.931,85310011402
397.19,11.108,1.28233E+11
397.39,10.886,76913044029
397.54,11.314,2.06063E+11
397.73,11.037,1.08893E+11
397.87,11.195,1.56675E+11
397.97,11.201,1.58855E+11
398.14,11.339,2.18273E+11
398.32,11.141,1.38357E+11
398.48,11.478,3.00608E+11
398.66,11.324,2.10863E+11
398.79,11.39,2.45471E+11
398.91,11.352,2.24905E+11
399.05,11.622,4.18794E+11
399.26,11.365,2.31739E+11
399.43,11.584,3.83707E+11
399.65,11.579,3.79315E+11
399.83,11.488,3.0761E+11
399.95,11.781,6.03949E+11
400.02,11.743,5.5335E+11
400.15,11.588,3.87258E+11
400.33,11.675,4.73151E+11
400.48,11.72,5.24807E+11
400.54,11.828,6.72977E+11
400.72,11.652,4.48745E+11
400.89,11.894,7.8343E+11
401.05,11.818,6.57658E+11
401.15,11.871,7.43019E+11
401.29,11.765,5.82103E+11
401.44,11.965,9.22571E+11
402.08,11.967,9.2683E+11
402.18,11.72,5.24807E+11
402.34,11.971,9.35406E+11
402.65,11.975,9.44061E+11
402.73,11.887,7.70903E+11
402.93,11.986,9.68278E+11
404.91,11.954,8.99498E+11
405.17,10.66,45708818961
405.37,10.223,16710906143
405.63,9.645,4415704474
405.87,10.205,16032453907
405.98,9.7507,5632484432
406.04,9.5745,3754049545
