Time,log10(Ne),Ne
389.78,7.787,61235039.17
390.34,7.8004,63153874.54
390.49,7.9442,87942741.49
390.75,8.1228,132678331.1
391.01,7.9309,85290370.31
391.06,8.6786,477089655.4
391.26,8.5396,346417641
391.34,8.705,506990708.3
391.6,8.7447,555520384.8
391.76,8.8374,687701544.9
391.95,8.844,698232404.1
392.15,8.9962,991288344.9
392.26,8.9565,904690437.7
392.49,9.1814,1518448266
392.64,9.1417,1385798223
392.78,9.2741,1879749595
393.06,9.4329,2709567659
393.24,9.3601,2291395205
393.43,9.5916,3904810837
393.6,9.5123,3253119373
393.79,9.6181,4150496003
394.03,9.6644,4617426595
394.2,9.6313,4278583382
394.34,9.8497,7074569216
394.6,9.6909,4907948534
394.72,9.9291,8493760286
394.93,9.8695,7404572675
395.04,10.108,12823305827
395.09,9.9159,8239483720
395.3,10.101,12618275346
395.5,9.9622,9166425224
395.69,10.048,11168632478
395.82,9.9622,9166425224
396.08,10.167,14689262776
396.23,10.399,25061092530
396.42,10.326,21183611352
396.52,10.458,28707805820
396.63,10.644,44055486351
396.78,10.511,32433961735
396.99,10.604,40179081085
397.19,10.723,52844525178
397.35,10.63,42657951880
397.58,10.922,83560301823
397.71,10.822,66374307040
397.84,10.888,77268058510
397.95,10.915,82224264995
398.18,11.074,1.18577E+11
398.32,10.869,73960527506
398.52,11.199,1.58125E+11
398.7,11.087,1.2218E+11
398.79,11.16,1.44544E+11
398.94,11.113,1.29718E+11
399.05,11.453,2.83792E+11
399.26,11.076,1.19124E+11
399.38,11.48,3.01995E+11
399.59,11.414,2.59418E+11
399.77,11.506,3.20627E+11
399.85,11.228,1.69044E+11
399.91,11.301,1.99986E+11
400,11.639,4.35512E+11
400.11,11.453,2.83792E+11
400.24,11.248,1.77011E+11
400.29,11.453,2.83792E+11
400.48,11.46,2.88403E+11
400.56,11.678,4.76431E+11
400.74,11.347,2.22331E+11
400.94,11.771,5.90201E+11
401.05,11.519,3.3037E+11
401.25,11.526,3.35738E+11
401.36,11.42,2.63027E+11
401.57,11.877,7.53356E+11
401.77,11.5,3.16228E+11
401.86,11.559,3.62243E+11
401.96,11.553,3.57273E+11
402.14,11.883,7.63836E+11
402.3,11.427,2.67301E+11
402.43,11.672,4.69894E+11
402.69,11.817,6.56145E+11
402.82,11.447,2.79898E+11
402.99,11.804,6.36796E+11
403.26,11.791,6.18016E+11
403.42,11.433,2.71019E+11
403.6,11.883,7.63836E+11
403.76,11.811,6.47143E+11
403.94,11.42,2.63027E+11
404.12,11.857,7.19449E+11
404.46,11.83,6.76083E+11
404.58,11.427,2.67301E+11
404.67,11.864,7.31139E+11
404.87,11.857,7.19449E+11
404.95,10.957,90573260090
404.97,9.7264,5325985748
405.02,9.3029,2008630255
405.06,8.026,106169555.7
405.16,8.5354,343083632.8
405.28,9.1508,1415141933
405.41,8.5685,370254205.4
405.65,8.0194,104568288.5
405.76,8.2708,186552038.9
405.84,9.6404,4369180634
405.94,9.9183,8285142835
406.06,8.4494,281449188
