Time,log10(Ne),Ne
394.82,7.7191,
394.88,8.0603,
394.99,7.7658,
395.13,8.5062,
395.24,8.3505,
395.53,8.7375,
395.63,8.6492,
395.75,9.3012,
395.85,8.9521,
396.02,9.297,
396.27,9.3559,
396.38,9.7681,
396.51,9.5073,
396.62,9.8943,
396.73,9.7471,
396.94,9.9112,
397.03,10.088,
397.13,9.8859,
397.25,10.336,
397.38,9.9995,
397.5,10.248,
397.66,10.26,
397.78,10.164,
397.89,10.551,
398.02,10.235,
398.13,10.538,
398.23,10.429,
398.43,10.475,
398.51,10.782,
398.64,10.521,
398.75,10.967,
398.87,10.702,
399.08,10.824,
399.14,11.068,
399.28,10.782,
399.39,11.19,
399.51,10.954,
399.79,11.186,
399.91,11.043,
400.01,11.392,
400.14,11.182,
400.42,11.329,
400.52,11.211,
400.63,11.333,
400.68,11.632,
400.78,11.425,
400.95,11.455,
401.04,11.863,
401.16,11.459,
401.3,11.64,
401.47,11.602,
401.54,11.522,
401.63,11.653,
401.67,11.884,
401.8,11.665,
401.91,11.88,
405.71,11.888,
